"",".id","X..i..","date","probe.name","probe.type","probe.value","probe.name.1","probe.type.1","probe.value.1","probe.name.2","probe.type.2","probe.value.2","probe.name.3","probe.type.3","probe.value.3","probe.name.4","probe.type.4","probe.value.4","probe.name.5","probe.type.5","probe.value.5","probe.name.6","probe.type.6","probe.value.6","probe.name.7","probe.type.7","probe.value.7","probe.name.8","probe.type.8","probe.value.8","probe.name.9","probe.type.9","probe.value.9","probe.name.10","probe.type.10","probe.value.10","probe.name.11","probe.type.11","probe.value.11","probe.name.12","probe.type.12","probe.value.12","probe.name.13","probe.type.13","probe.value.13","probe.name.14","probe.type.14","probe.value.14","probe.name.15","probe.type.15","probe.value.15","probe.name.16","probe.type.16","probe.value.16","probe.name.17","probe.type.17","probe.value.17"
"1","hostname","apex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","serial","AC5:86437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","timezone","-10.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","record",NA,"08/09/2024 00:00:00","Btemp","Temp","29.6","BasepH","pH","7.73","ORP","ORP","134","Salt","Cond","2.5","Temp_2","Temp","29.8","pH_2","pH","7.85","Temp_3","Temp","28.3","pH_3","pH","7.91","Temp_4","Temp","29.8","pH_4","pH","7.97","Temp_5","Temp","28.1","pH_5","pH","7.91","Temp_6","Temp","29.3","pH_6","pH","8.02","Am_Hed","Amps","0.8","Temp_7","Temp","26.9","pH_7","pH","7.97",NA,NA,NA
"5","record",NA,"08/09/2024 00:10:00","Btemp","Temp","29.6","BasepH","pH","7.76","ORP","ORP","139","Salt","Cond","2.3","Temp_2","Temp","29.6","pH_2","pH","7.85","Temp_3","Temp","28.0","pH_3","pH","7.91","Temp_4","Temp","29.6","pH_4","pH","7.97","Temp_5","Temp","28.2","pH_5","pH","7.91","Temp_6","Temp","29.5","pH_6","pH","8.02","Am_Hed","Amps","0.8","Temp_7","Temp","26.7","pH_7","pH","7.97",NA,NA,NA
"6","record",NA,"08/09/2024 00:20:00","Btemp","Temp","29.6","BasepH","pH","7.74","ORP","ORP","137","Salt","Cond","2.5","Temp_2","Temp","29.0","pH_2","pH","7.85","Temp_3","Temp","27.7","pH_3","pH","7.91","Temp_4","Temp","30.8","pH_4","pH","7.97","Temp_5","Temp","28.0","pH_5","pH","7.91","Temp_6","Temp","30.2","pH_6","pH","8.03","Am_Hed","Amps","0.8","Temp_7","Temp","26.7","pH_7","pH","7.97",NA,NA,NA
"7","record",NA,"08/09/2024 00:30:00","Btemp","Temp","29.6","BasepH","pH","7.73","ORP","ORP","135","Salt","Cond","2.5","Temp_2","Temp","29.8","pH_2","pH","7.85","Temp_3","Temp","27.3","pH_3","pH","7.92","Temp_4","Temp","30.1","pH_4","pH","7.97","Temp_5","Temp","27.8","pH_5","pH","7.90","Temp_6","Temp","29.9","pH_6","pH","8.03","Am_Hed","Amps","0.8","Temp_7","Temp","27.0","pH_7","pH","7.97",NA,NA,NA
"8","record",NA,"08/09/2024 00:40:00","Btemp","Temp","29.6","BasepH","pH","7.73","ORP","ORP","135","Salt","Cond","2.5","Temp_2","Temp","29.1","pH_2","pH","7.86","Temp_3","Temp","27.1","pH_3","pH","7.92","Temp_4","Temp","30.0","pH_4","pH","7.97","Temp_5","Temp","27.6","pH_5","pH","7.92","Temp_6","Temp","29.8","pH_6","pH","8.03","Am_Hed","Amps","0.8","Temp_7","Temp","27.5","pH_7","pH","7.97",NA,NA,NA
"9","record",NA,"08/09/2024 00:50:00","Btemp","Temp","29.6","BasepH","pH","7.72","ORP","ORP","135","Salt","Cond","2.5","Temp_2","Temp","30.0","pH_2","pH","7.86","Temp_3","Temp","27.1","pH_3","pH","7.92","Temp_4","Temp","30.6","pH_4","pH","7.97","Temp_5","Temp","27.3","pH_5","pH","7.93","Temp_6","Temp","29.8","pH_6","pH","8.04","Am_Hed","Amps","0.8","Temp_7","Temp","27.9","pH_7","pH","7.97",NA,NA,NA
"10","record",NA,"08/09/2024 01:00:00","Btemp","Temp","29.6","BasepH","pH","7.72","ORP","ORP","136","Salt","Cond","2.5","Temp_2","Temp","29.7","pH_2","pH","7.86","Temp_3","Temp","27.3","pH_3","pH","7.92","Temp_4","Temp","30.0","pH_4","pH","7.97","Temp_5","Temp","27.3","pH_5","pH","7.92","Temp_6","Temp","29.8","pH_6","pH","8.04","Am_Hed","Amps","0.8","Temp_7","Temp","28.1","pH_7","pH","7.97",NA,NA,NA
"11","record",NA,"08/09/2024 01:10:00","Btemp","Temp","29.6","BasepH","pH","7.72","ORP","ORP","136","Salt","Cond","2.5","Temp_2","Temp","29.5","pH_2","pH","7.87","Temp_3","Temp","27.8","pH_3","pH","7.93","Temp_4","Temp","29.8","pH_4","pH","7.97","Temp_5","Temp","27.6","pH_5","pH","7.94","Temp_6","Temp","29.6","pH_6","pH","8.05","Am_Hed","Amps","0.7","Temp_7","Temp","28.1","pH_7","pH","7.98",NA,NA,NA
"12","record",NA,"08/09/2024 01:20:00","Btemp","Temp","29.6","BasepH","pH","7.72","ORP","ORP","136","Salt","Cond","2.5","Temp_2","Temp","29.5","pH_2","pH","7.87","Temp_3","Temp","28.2","pH_3","pH","7.93","Temp_4","Temp","29.7","pH_4","pH","7.97","Temp_5","Temp","28.0","pH_5","pH","7.95","Temp_6","Temp","29.2","pH_6","pH","8.06","Am_Hed","Amps","0.7","Temp_7","Temp","27.9","pH_7","pH","7.98",NA,NA,NA
"13","record",NA,"08/09/2024 01:30:00","Btemp","Temp","29.6","BasepH","pH","7.72","ORP","ORP","139","Salt","Cond","2.6","Temp_2","Temp","29.5","pH_2","pH","7.88","Temp_3","Temp","28.5","pH_3","pH","7.94","Temp_4","Temp","29.7","pH_4","pH","7.97","Temp_5","Temp","28.1","pH_5","pH","7.96","Temp_6","Temp","29.4","pH_6","pH","8.06","Am_Hed","Amps","0.8","Temp_7","Temp","27.6","pH_7","pH","7.99",NA,NA,NA
"14","record",NA,"08/09/2024 01:40:00","Btemp","Temp","29.6","BasepH","pH","7.72","ORP","ORP","138","Salt","Cond","2.5","Temp_2","Temp","29.2","pH_2","pH","7.89","Temp_3","Temp","28.5","pH_3","pH","7.94","Temp_4","Temp","30.9","pH_4","pH","7.98","Temp_5","Temp","28.1","pH_5","pH","7.95","Temp_6","Temp","30.1","pH_6","pH","8.07","Am_Hed","Amps","0.8","Temp_7","Temp","27.2","pH_7","pH","8.00",NA,NA,NA
"15","record",NA,"08/09/2024 01:50:00","Btemp","Temp","29.6","BasepH","pH","7.72","ORP","ORP","138","Salt","Cond","2.5","Temp_2","Temp","29.1","pH_2","pH","7.90","Temp_3","Temp","28.4","pH_3","pH","7.95","Temp_4","Temp","30.2","pH_4","pH","7.98","Temp_5","Temp","28.0","pH_5","pH","7.99","Temp_6","Temp","29.4","pH_6","pH","8.08","Am_Hed","Amps","0.8","Temp_7","Temp","26.9","pH_7","pH","8.01",NA,NA,NA
"16","record",NA,"08/09/2024 02:00:00","Btemp","Temp","29.7","BasepH","pH","7.72","ORP","ORP","141","Salt","Cond","2.5","Temp_2","Temp","29.9","pH_2","pH","7.91","Temp_3","Temp","28.2","pH_3","pH","7.96","Temp_4","Temp","29.6","pH_4","pH","7.99","Temp_5","Temp","27.7","pH_5","pH","7.97","Temp_6","Temp","29.3","pH_6","pH","8.07","Am_Hed","Amps","0.7","Temp_7","Temp","26.7","pH_7","pH","8.01",NA,NA,NA
"17","record",NA,"08/09/2024 02:10:00","Btemp","Temp","29.7","BasepH","pH","7.72","ORP","ORP","140","Salt","Cond","2.5","Temp_2","Temp","29.2","pH_2","pH","7.93","Temp_3","Temp","27.8","pH_3","pH","7.97","Temp_4","Temp","30.8","pH_4","pH","7.99","Temp_5","Temp","27.5","pH_5","pH","8.00","Temp_6","Temp","30.3","pH_6","pH","8.10","Am_Hed","Amps","0.8","Temp_7","Temp","26.7","pH_7","pH","8.04",NA,NA,NA
"18","record",NA,"08/09/2024 02:20:00","Btemp","Temp","29.7","BasepH","pH","7.74","ORP","ORP","143","Salt","Cond","2.4","Temp_2","Temp","29.5","pH_2","pH","7.95","Temp_3","Temp","27.6","pH_3","pH","7.99","Temp_4","Temp","30.2","pH_4","pH","8.00","Temp_5","Temp","27.3","pH_5","pH","8.01","Temp_6","Temp","30.1","pH_6","pH","8.11","Am_Hed","Amps","0.8","Temp_7","Temp","27.2","pH_7","pH","8.05",NA,NA,NA
"19","record",NA,"08/09/2024 02:30:00","Btemp","Temp","29.7","BasepH","pH","7.72","ORP","ORP","140","Salt","Cond","2.5","Temp_2","Temp","29.6","pH_2","pH","7.96","Temp_3","Temp","27.3","pH_3","pH","8.00","Temp_4","Temp","29.7","pH_4","pH","8.01","Temp_5","Temp","27.3","pH_5","pH","8.06","Temp_6","Temp","30.1","pH_6","pH","8.13","Am_Hed","Amps","0.8","Temp_7","Temp","27.7","pH_7","pH","8.09",NA,NA,NA
"20","record",NA,"08/09/2024 02:40:00","Btemp","Temp","29.8","BasepH","pH","7.72","ORP","ORP","140","Salt","Cond","2.5","Temp_2","Temp","29.0","pH_2","pH","7.97","Temp_3","Temp","27.0","pH_3","pH","8.01","Temp_4","Temp","29.7","pH_4","pH","8.02","Temp_5","Temp","27.7","pH_5","pH","8.06","Temp_6","Temp","30.3","pH_6","pH","8.15","Am_Hed","Amps","0.7","Temp_7","Temp","28.2","pH_7","pH","8.11",NA,NA,NA
"21","record",NA,"08/09/2024 02:50:00","Btemp","Temp","29.8","BasepH","pH","7.72","ORP","ORP","141","Salt","Cond","2.6","Temp_2","Temp","29.8","pH_2","pH","7.98","Temp_3","Temp","26.8","pH_3","pH","8.02","Temp_4","Temp","29.8","pH_4","pH","8.02","Temp_5","Temp","28.1","pH_5","pH","8.07","Temp_6","Temp","30.3","pH_6","pH","8.16","Am_Hed","Amps","0.7","Temp_7","Temp","28.5","pH_7","pH","8.11",NA,NA,NA
"22","record",NA,"08/09/2024 03:00:00","Btemp","Temp","29.8","BasepH","pH","7.72","ORP","ORP","141","Salt","Cond","2.6","Temp_2","Temp","29.1","pH_2","pH","7.98","Temp_3","Temp","26.7","pH_3","pH","8.03","Temp_4","Temp","29.7","pH_4","pH","8.03","Temp_5","Temp","28.3","pH_5","pH","8.09","Temp_6","Temp","30.1","pH_6","pH","8.17","Am_Hed","Amps","0.8","Temp_7","Temp","28.6","pH_7","pH","8.11",NA,NA,NA
"23","record",NA,"08/09/2024 03:10:00","Btemp","Temp","29.8","BasepH","pH","7.72","ORP","ORP","142","Salt","Cond","2.6","Temp_2","Temp","30.0","pH_2","pH","7.99","Temp_3","Temp","26.8","pH_3","pH","8.04","Temp_4","Temp","30.6","pH_4","pH","8.04","Temp_5","Temp","28.3","pH_5","pH","8.08","Temp_6","Temp","29.8","pH_6","pH","8.18","Am_Hed","Amps","0.7","Temp_7","Temp","28.5","pH_7","pH","8.11",NA,NA,NA
"24","record",NA,"08/09/2024 03:20:00","Btemp","Temp","29.9","BasepH","pH","7.72","ORP","ORP","142","Salt","Cond","2.5","Temp_2","Temp","29.6","pH_2","pH","8.00","Temp_3","Temp","26.8","pH_3","pH","8.04","Temp_4","Temp","30.6","pH_4","pH","8.05","Temp_5","Temp","28.3","pH_5","pH","8.10","Temp_6","Temp","29.6","pH_6","pH","8.20","Am_Hed","Amps","0.8","Temp_7","Temp","28.3","pH_7","pH","8.11",NA,NA,NA
"25","record",NA,"08/09/2024 03:30:00","Btemp","Temp","29.9","BasepH","pH","7.72","ORP","ORP","145","Salt","Cond","2.4","Temp_2","Temp","29.2","pH_2","pH","8.02","Temp_3","Temp","27.0","pH_3","pH","8.05","Temp_4","Temp","30.1","pH_4","pH","8.06","Temp_5","Temp","28.1","pH_5","pH","8.10","Temp_6","Temp","29.3","pH_6","pH","8.20","Am_Hed","Amps","0.8","Temp_7","Temp","28.1","pH_7","pH","8.11",NA,NA,NA
"26","record",NA,"08/09/2024 03:40:00","Btemp","Temp","30.0","BasepH","pH","7.72","ORP","ORP","145","Salt","Cond","2.6","Temp_2","Temp","29.5","pH_2","pH","8.02","Temp_3","Temp","27.2","pH_3","pH","8.06","Temp_4","Temp","29.6","pH_4","pH","8.06","Temp_5","Temp","27.9","pH_5","pH","8.10","Temp_6","Temp","29.0","pH_6","pH","8.21","Am_Hed","Amps","0.8","Temp_7","Temp","27.7","pH_7","pH","8.11",NA,NA,NA
"27","record",NA,"08/09/2024 03:50:00","Btemp","Temp","30.0","BasepH","pH","7.74","ORP","ORP","145","Salt","Cond","2.6","Temp_2","Temp","30.0","pH_2","pH","8.03","Temp_3","Temp","27.4","pH_3","pH","8.07","Temp_4","Temp","30.8","pH_4","pH","8.07","Temp_5","Temp","27.7","pH_5","pH","8.12","Temp_6","Temp","30.3","pH_6","pH","8.21","Am_Hed","Amps","0.7","Temp_7","Temp","27.5","pH_7","pH","8.12",NA,NA,NA
"28","record",NA,"08/09/2024 04:00:00","Btemp","Temp","30.1","BasepH","pH","7.72","ORP","ORP","144","Salt","Cond","2.6","Temp_2","Temp","29.7","pH_2","pH","8.03","Temp_3","Temp","27.6","pH_3","pH","8.07","Temp_4","Temp","30.2","pH_4","pH","8.06","Temp_5","Temp","27.5","pH_5","pH","8.11","Temp_6","Temp","29.6","pH_6","pH","8.20","Am_Hed","Amps","0.7","Temp_7","Temp","27.2","pH_7","pH","8.13",NA,NA,NA
"29","record",NA,"08/09/2024 04:10:00","Btemp","Temp","30.1","BasepH","pH","7.72","ORP","ORP","144","Salt","Cond","2.6","Temp_2","Temp","29.4","pH_2","pH","8.04","Temp_3","Temp","27.8","pH_3","pH","8.08","Temp_4","Temp","29.6","pH_4","pH","8.07","Temp_5","Temp","27.3","pH_5","pH","8.13","Temp_6","Temp","29.2","pH_6","pH","8.22","Am_Hed","Amps","0.8","Temp_7","Temp","27.0","pH_7","pH","8.15",NA,NA,NA
"30","record",NA,"08/09/2024 04:20:00","Btemp","Temp","30.2","BasepH","pH","7.72","ORP","ORP","144","Salt","Cond","2.6","Temp_2","Temp","29.1","pH_2","pH","8.04","Temp_3","Temp","27.9","pH_3","pH","8.08","Temp_4","Temp","30.8","pH_4","pH","8.07","Temp_5","Temp","27.3","pH_5","pH","8.13","Temp_6","Temp","29.4","pH_6","pH","8.21","Am_Hed","Amps","0.8","Temp_7","Temp","26.9","pH_7","pH","8.14",NA,NA,NA
"31","record",NA,"08/09/2024 04:30:00","Btemp","Temp","30.2","BasepH","pH","7.72","ORP","ORP","144","Salt","Cond","2.5","Temp_2","Temp","28.9","pH_2","pH","8.05","Temp_3","Temp","27.9","pH_3","pH","8.09","Temp_4","Temp","30.5","pH_4","pH","8.07","Temp_5","Temp","27.4","pH_5","pH","8.15","Temp_6","Temp","30.2","pH_6","pH","8.24","Am_Hed","Amps","0.7","Temp_7","Temp","26.9","pH_7","pH","8.16",NA,NA,NA
"32","record",NA,"08/09/2024 04:40:00","Btemp","Temp","30.2","BasepH","pH","7.73","ORP","ORP","144","Salt","Cond","2.6","Temp_2","Temp","30.0","pH_2","pH","8.05","Temp_3","Temp","27.7","pH_3","pH","8.09","Temp_4","Temp","30.0","pH_4","pH","8.08","Temp_5","Temp","27.5","pH_5","pH","8.17","Temp_6","Temp","29.8","pH_6","pH","8.26","Am_Hed","Amps","0.7","Temp_7","Temp","27.0","pH_7","pH","8.18",NA,NA,NA
"33","record",NA,"08/09/2024 04:50:00","Btemp","Temp","30.3","BasepH","pH","7.73","ORP","ORP","144","Salt","Cond","2.5","Temp_2","Temp","29.4","pH_2","pH","8.06","Temp_3","Temp","27.6","pH_3","pH","8.10","Temp_4","Temp","29.8","pH_4","pH","8.08","Temp_5","Temp","27.7","pH_5","pH","8.18","Temp_6","Temp","29.5","pH_6","pH","8.27","Am_Hed","Amps","0.8","Temp_7","Temp","27.1","pH_7","pH","8.15",NA,NA,NA
"34","record",NA,"08/09/2024 05:00:00","Btemp","Temp","30.3","BasepH","pH","7.73","ORP","ORP","147","Salt","Cond","2.5","Temp_2","Temp","28.9","pH_2","pH","8.04","Temp_3","Temp","27.5","pH_3","pH","8.09","Temp_4","Temp","29.6","pH_4","pH","8.08","Temp_5","Temp","28.0","pH_5","pH","8.13","Temp_6","Temp","29.3","pH_6","pH","8.25","Am_Hed","Amps","0.7","Temp_7","Temp","27.1","pH_7","pH","8.10",NA,NA,NA
"35","record",NA,"08/09/2024 05:10:00","Btemp","Temp","30.3","BasepH","pH","7.73","ORP","ORP","144","Salt","Cond","2.5","Temp_2","Temp","30.0","pH_2","pH","8.00","Temp_3","Temp","27.0","pH_3","pH","8.07","Temp_4","Temp","30.9","pH_4","pH","8.08","Temp_5","Temp","28.1","pH_5","pH","8.15","Temp_6","Temp","29.2","pH_6","pH","8.19","Am_Hed","Amps","0.8","Temp_7","Temp","27.1","pH_7","pH","8.09",NA,NA,NA
"36","record",NA,"08/09/2024 05:20:00","Btemp","Temp","30.3","BasepH","pH","7.73","ORP","ORP","143","Salt","Cond","2.6","Temp_2","Temp","29.2","pH_2","pH","8.00","Temp_3","Temp","27.0","pH_3","pH","8.07","Temp_4","Temp","30.1","pH_4","pH","8.08","Temp_5","Temp","28.0","pH_5","pH","8.13","Temp_6","Temp","29.1","pH_6","pH","8.17","Am_Hed","Amps","0.7","Temp_7","Temp","27.2","pH_7","pH","8.08",NA,NA,NA
"37","record",NA,"08/09/2024 05:30:00","Btemp","Temp","30.3","BasepH","pH","7.73","ORP","ORP","143","Salt","Cond","2.5","Temp_2","Temp","29.0","pH_2","pH","8.05","Temp_3","Temp","27.5","pH_3","pH","8.10","Temp_4","Temp","29.8","pH_4","pH","8.10","Temp_5","Temp","27.9","pH_5","pH","8.20","Temp_6","Temp","29.2","pH_6","pH","8.20","Am_Hed","Amps","0.7","Temp_7","Temp","27.5","pH_7","pH","8.10",NA,NA,NA
"38","record",NA,"08/09/2024 05:40:00","Btemp","Temp","30.4","BasepH","pH","7.73","ORP","ORP","143","Salt","Cond","2.5","Temp_2","Temp","29.3","pH_2","pH","8.07","Temp_3","Temp","28.2","pH_3","pH","8.11","Temp_4","Temp","30.8","pH_4","pH","8.11","Temp_5","Temp","28.0","pH_5","pH","8.18","Temp_6","Temp","29.5","pH_6","pH","8.20","Am_Hed","Amps","0.8","Temp_7","Temp","27.8","pH_7","pH","8.10",NA,NA,NA
"39","record",NA,"08/09/2024 05:50:00","Btemp","Temp","30.5","BasepH","pH","7.73","ORP","ORP","145","Salt","Cond","2.5","Temp_2","Temp","29.5","pH_2","pH","8.07","Temp_3","Temp","28.7","pH_3","pH","8.11","Temp_4","Temp","30.0","pH_4","pH","8.11","Temp_5","Temp","27.8","pH_5","pH","8.18","Temp_6","Temp","29.6","pH_6","pH","8.20","Am_Hed","Amps","0.8","Temp_7","Temp","28.0","pH_7","pH","8.11",NA,NA,NA
"40","record",NA,"08/09/2024 06:00:00","Btemp","Temp","30.5","BasepH","pH","7.76","ORP","ORP","146","Salt","Cond","2.5","Temp_2","Temp","29.5","pH_2","pH","8.05","Temp_3","Temp","28.9","pH_3","pH","8.11","Temp_4","Temp","30.2","pH_4","pH","8.12","Temp_5","Temp","27.7","pH_5","pH","8.18","Temp_6","Temp","29.5","pH_6","pH","8.19","Am_Hed","Amps","0.8","Temp_7","Temp","28.1","pH_7","pH","8.11",NA,NA,NA
"41","record",NA,"08/09/2024 06:10:00","Btemp","Temp","30.5","BasepH","pH","7.74","ORP","ORP","144","Salt","Cond","2.5","Temp_2","Temp","29.3","pH_2","pH","8.07","Temp_3","Temp","29.0","pH_3","pH","8.12","Temp_4","Temp","30.5","pH_4","pH","8.12","Temp_5","Temp","27.6","pH_5","pH","8.18","Temp_6","Temp","29.5","pH_6","pH","8.20","Am_Hed","Amps","0.8","Temp_7","Temp","28.0","pH_7","pH","8.10",NA,NA,NA
"42","record",NA,"08/09/2024 06:20:00","Btemp","Temp","30.6","BasepH","pH","7.76","ORP","ORP","146","Salt","Cond","2.5","Temp_2","Temp","29.2","pH_2","pH","8.08","Temp_3","Temp","29.0","pH_3","pH","8.11","Temp_4","Temp","29.6","pH_4","pH","8.13","Temp_5","Temp","27.3","pH_5","pH","8.22","Temp_6","Temp","29.2","pH_6","pH","8.23","Am_Hed","Amps","0.7","Temp_7","Temp","27.9","pH_7","pH","8.11",NA,NA,NA
"43","record",NA,"08/09/2024 06:30:00","Btemp","Temp","30.6","BasepH","pH","7.74","ORP","ORP","144","Salt","Cond","2.5","Temp_2","Temp","29.1","pH_2","pH","8.08","Temp_3","Temp","28.6","pH_3","pH","8.12","Temp_4","Temp","31.0","pH_4","pH","8.13","Temp_5","Temp","27.2","pH_5","pH","8.18","Temp_6","Temp","29.1","pH_6","pH","8.23","Am_Hed","Amps","0.7","Temp_7","Temp","27.9","pH_7","pH","8.11",NA,NA,NA
"44","record",NA,"08/09/2024 06:40:00","Btemp","Temp","30.6","BasepH","pH","7.76","ORP","ORP","147","Salt","Cond","2.6","Temp_2","Temp","29.3","pH_2","pH","8.09","Temp_3","Temp","28.5","pH_3","pH","8.13","Temp_4","Temp","30.5","pH_4","pH","8.14","Temp_5","Temp","27.6","pH_5","pH","8.17","Temp_6","Temp","30.2","pH_6","pH","8.23","Am_Hed","Amps","0.7","Temp_7","Temp","27.7","pH_7","pH","8.11",NA,NA,NA
"45","record",NA,"08/09/2024 06:50:00","Btemp","Temp","30.6","BasepH","pH","7.74","ORP","ORP","144","Salt","Cond","2.5","Temp_2","Temp","29.7","pH_2","pH","8.08","Temp_3","Temp","28.2","pH_3","pH","8.14","Temp_4","Temp","30.0","pH_4","pH","8.14","Temp_5","Temp","28.0","pH_5","pH","8.16","Temp_6","Temp","29.8","pH_6","pH","8.21","Am_Hed","Amps","0.7","Temp_7","Temp","27.6","pH_7","pH","8.12",NA,NA,NA
"46","record",NA,"08/09/2024 07:00:00","Btemp","Temp","30.7","BasepH","pH","7.74","ORP","ORP","144","Salt","Cond","2.6","Temp_2","Temp","29.2","pH_2","pH","8.09","Temp_3","Temp","28.1","pH_3","pH","8.13","Temp_4","Temp","29.7","pH_4","pH","8.14","Temp_5","Temp","28.2","pH_5","pH","8.16","Temp_6","Temp","29.3","pH_6","pH","8.19","Am_Hed","Amps","0.7","Temp_7","Temp","27.4","pH_7","pH","8.12",NA,NA,NA
"47","record",NA,"08/09/2024 07:10:00","Btemp","Temp","30.7","BasepH","pH","7.76","ORP","ORP","146","Salt","Cond","2.5","Temp_2","Temp","29.4","pH_2","pH","8.09","Temp_3","Temp","27.8","pH_3","pH","8.14","Temp_4","Temp","31.0","pH_4","pH","8.15","Temp_5","Temp","28.3","pH_5","pH","8.16","Temp_6","Temp","29.3","pH_6","pH","8.20","Am_Hed","Amps","0.7","Temp_7","Temp","27.2","pH_7","pH","8.11",NA,NA,NA
"48","record",NA,"08/09/2024 07:20:00","Btemp","Temp","30.8","BasepH","pH","7.76","ORP","ORP","145","Salt","Cond","2.5","Temp_2","Temp","29.7","pH_2","pH","8.09","Temp_3","Temp","27.6","pH_3","pH","8.14","Temp_4","Temp","30.2","pH_4","pH","8.15","Temp_5","Temp","28.3","pH_5","pH","8.17","Temp_6","Temp","30.1","pH_6","pH","8.21","Am_Hed","Amps","0.7","Temp_7","Temp","27.1","pH_7","pH","8.11",NA,NA,NA
"49","record",NA,"08/09/2024 07:30:00","Btemp","Temp","30.9","BasepH","pH","7.78","ORP","ORP","147","Salt","Cond","2.5","Temp_2","Temp","28.9","pH_2","pH","8.10","Temp_3","Temp","27.3","pH_3","pH","8.15","Temp_4","Temp","29.7","pH_4","pH","8.16","Temp_5","Temp","28.3","pH_5","pH","8.16","Temp_6","Temp","29.5","pH_6","pH","8.23","Am_Hed","Amps","0.7","Temp_7","Temp","27.0","pH_7","pH","8.11",NA,NA,NA
"50","record",NA,"08/09/2024 07:40:00","Btemp","Temp","30.9","BasepH","pH","7.76","ORP","ORP","144","Salt","Cond","2.6","Temp_2","Temp","30.0","pH_2","pH","8.10","Temp_3","Temp","27.3","pH_3","pH","8.15","Temp_4","Temp","30.9","pH_4","pH","8.16","Temp_5","Temp","28.1","pH_5","pH","8.17","Temp_6","Temp","29.1","pH_6","pH","8.21","Am_Hed","Amps","0.7","Temp_7","Temp","27.0","pH_7","pH","8.11",NA,NA,NA
"51","record",NA,"08/09/2024 07:50:00","Btemp","Temp","31.0","BasepH","pH","7.77","ORP","ORP","143","Salt","Cond","2.6","Temp_2","Temp","29.3","pH_2","pH","8.10","Temp_3","Temp","27.2","pH_3","pH","8.15","Temp_4","Temp","30.0","pH_4","pH","8.17","Temp_5","Temp","28.0","pH_5","pH","8.17","Temp_6","Temp","30.1","pH_6","pH","8.23","Am_Hed","Amps","0.8","Temp_7","Temp","27.1","pH_7","pH","8.11",NA,NA,NA
"52","record",NA,"08/09/2024 08:00:00","Btemp","Temp","31.0","BasepH","pH","7.77","ORP","ORP","142","Salt","Cond","2.6","Temp_2","Temp","28.9","pH_2","pH","8.10","Temp_3","Temp","27.3","pH_3","pH","8.15","Temp_4","Temp","30.5","pH_4","pH","8.17","Temp_5","Temp","27.8","pH_5","pH","8.19","Temp_6","Temp","30.1","pH_6","pH","8.23","Am_Hed","Amps","0.7","Temp_7","Temp","27.2","pH_7","pH","8.11",NA,NA,NA
"53","record",NA,"08/09/2024 08:10:00","Btemp","Temp","31.0","BasepH","pH","7.77","ORP","ORP","142","Salt","Cond","2.5","Temp_2","Temp","30.0","pH_2","pH","8.10","Temp_3","Temp","27.5","pH_3","pH","8.16","Temp_4","Temp","30.3","pH_4","pH","8.18","Temp_5","Temp","27.6","pH_5","pH","8.20","Temp_6","Temp","29.7","pH_6","pH","8.23","Am_Hed","Amps","0.8","Temp_7","Temp","27.3","pH_7","pH","8.11",NA,NA,NA
"54","record",NA,"08/09/2024 08:20:00","Btemp","Temp","31.0","BasepH","pH","7.77","ORP","ORP","142","Salt","Cond","2.6","Temp_2","Temp","29.6","pH_2","pH","8.10","Temp_3","Temp","27.6","pH_3","pH","8.15","Temp_4","Temp","29.8","pH_4","pH","8.18","Temp_5","Temp","27.4","pH_5","pH","8.20","Temp_6","Temp","29.6","pH_6","pH","8.23","Am_Hed","Amps","0.8","Temp_7","Temp","27.5","pH_7","pH","8.11",NA,NA,NA
"55","record",NA,"08/09/2024 08:30:00","Btemp","Temp","31.0","BasepH","pH","7.76","ORP","ORP","141","Salt","Cond","2.6","Temp_2","Temp","29.2","pH_2","pH","8.07","Temp_3","Temp","27.8","pH_3","pH","8.14","Temp_4","Temp","30.7","pH_4","pH","8.18","Temp_5","Temp","27.3","pH_5","pH","8.18","Temp_6","Temp","29.5","pH_6","pH","8.20","Am_Hed","Amps","0.7","Temp_7","Temp","27.6","pH_7","pH","8.12",NA,NA,NA
